,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,176 x 81.6 x 18.1 mm (6.93 x 3.21 x 0.71 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor21.jpg,Li-Po 9600 mAh,,,,,Ulefone Armor 21,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",1080p@30fps,33W wired,,Mali-G57 MC2,"2023, May 30",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes (122dB),Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,About 280 EUR,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~72.6% screen-to-body ratio)","16 MP, f/2.2, (wide), 1.0µm",,"5.2, A2DP, LE","Stereo FM radio, RDS, recording",USB Type-C 2.0,"64 MP, f/1.9, (wide), 0.8µm, PDAF24 MP, f/1.8, (night vision), 2 infrared night vision lights","Available. Released 2023, May 30",256GB 8GB RAM,,Android 13,,Black,,,,,,400 g (14.11 oz),Yes,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,213 x 128.8 x 14 mm (8.39 x 5.07 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad.jpg,"Li-Po 7650 mAh, removable",,,,,Ulefone Armor Pad,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",Yes,18W Wired,,PowerVR GE8320,"2023, March 22",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 38, 40, 41","LED flash, HDR, panorama",,,About 200 EUR,,"5 MP, f/2.0",IPS LCD,,,Mediatek MT6762 Helio G25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"8.0 inches, 185.6 cm2(~67.6% screen-to-body ratio)","13 MP, f/2.2, AF",,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2023, March 22",64GB 4GB RAM,,Android 12,,Black,,,,,,560 g (1.23 lb),,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)"
CDMA 800,,164.8 x 79.2 x 18.1 mm (6.49 x 3.12 x 0.71 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-20wt.jpg,Li-Po 10850 mAh,,,CDMA2000 1x,,Ulefone Power Armor 20WT,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",1080p@30fps,33W wired,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Mali-G57 MC2,"2023, March 08",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / CDMA2000 / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Dual-LED flash, HDR, panorama",,,About 330 EUR,,"16 MP, f/2.2, (wide), 1.0µm",IPS LCD,,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"5.65 inches, 82.4 cm2(~63.1% screen-to-body ratio)","50 MP, f/2.2, (wide), 1.0µm, PDAF",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2023, March 08",256GB 12GB RAM,,Android 12,,Black,,,,,,382 g (13.47 oz),,"1080 x 2160 pixels, 18:9 ratio (~427 ppi density)"
CDMA 800,,175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-19t-.jpg,Li-Po 9600 mAh,,,CDMA2000 1x,,Ulefone Power Armor 19T,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"66W wired, 52% in 30 min15W wireless5W wireless reversed","IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",Mali-G57 MC2,"2023, March 06",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / CDMA2000 / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5.0"", 1.12µmFLIR thermal camera (Lepton module)5 MP (for thermal module)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Hexa-LED flash, HDR, panorama",,,About 440 EUR,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~71.4% screen-to-body ratio)","16 MP, f/2.0, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2023, March 06",256GB 12GB RAM,,Android 12,,Black,,,,,,409 g (14.43 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
CDMA 800,,175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-18.jpg,Li-Po 9600 mAh,,,CDMA2000 1x,,Ulefone Power Armor 18,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, thermometer",1080p@30fps,"66W wired, 52% in 30 min15W wireless5W wireless reversed","IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",Mali-G68 MC4,"2022, December 05",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, NavIC",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5.0"", 1.12µm8 MP, f/2.2, 119˚ (ultrawide)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Hexa-LED flash, HDR, panorama",,,About 400 EUR,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 900 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~71.4% screen-to-body ratio)","32 MP, f/2.0, (wide), 1.2µm",Corning Gorilla Glass 5,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2022, December 05",256GB 12GB RAM,,Android 12,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,409 g (14.43 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
eMMC 5.1,,164.8 x 76 x 9 mm (6.49 x 2.99 x 0.35 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-14.jpg,Li-Po 4500 mAh,,,,,Ulefone Note 14,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,,,PowerVR GE8300,"2022, September 29",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28","LED flash, HDR, panorama",,,About 100 EUR,,,IPS LCD,,,Mediatek MT6761 Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~81.9% screen-to-body ratio)","5 MP, f/2.0, (wide)",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",USB Type-C 2.0,"13 MP, f/2.0, (wide), 1.12µm, AF (64/4 model)8 MP, f/1.8, (wide), 1.12µm, AF (16/3 model)Depth camera","Available. Released 2022, September 29","16GB 3GB RAM, 64GB 4GB RAM",,Android 12,,"Midnight Black, Mint Green, Lavender Purple",,,,,,189 g (6.67 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
CDMA 800,,175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-19.jpg,Li-Po 9600 mAh,,,CDMA2000 1x,,Ulefone Power Armor 19,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, thermometer",1080p@30fps,"66W wired, 52% in 30 min15W wireless5W wireless reversed","IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",Mali-G57 MC2,"2022, December 27",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / CDMA2000 / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1440p@30fps,Yes,"108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/3.0, (macro), 1/5.0, 1.12µm","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Hexa-LED flash, HDR, panorama",,,About 400 EUR,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~71.4% screen-to-body ratio)","16 MP, f/2.0, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2022, December 27",256GB 12GB RAM,,Android 12,,Black,,,,,,409 g (14.43 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
eMMC 5.1,,238.7 x 157.5 x 7.4 mm (9.40 x 6.20 x 0.29 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a8-.jpg,Li-Po 6580 mAh,,,,,Ulefone Tab A8,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity",1080p@30fps,10W wired,,PowerVR GE8320,"2023, January 11",Octa-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers (4 speakers)",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41","LED flash, HDR, panorama",,,About 180 EUR,,"5 MP, f/2.2, (wide)",IPS LCD,,,Mediatek MT6762V/WD (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"10.1 inches, 295.8 cm2(~78.7% screen-to-body ratio)","13 MP, f/2.0, (wide)",,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2023, January 11",64GB 4GB RAM,,Android 12,,Gray,,,,,,483 g (1.06 lb),,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)"
CDMA 800,,175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-18t.jpg,Li-Po 9600 mAh,,,CDMA2000 1x,,Ulefone Power Armor 18T,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",1080p@30fps,"66W wired, 52% in 30 min15W wireless5W wireless reversed","IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliantAccessory connector (ulefone endoscope, microscope)",Mali-G68 MC4,"2022, October 31",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, NavIC",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5.0"", 1.12µmFLIR thermal camera (Lepton module)5 MP (for thermal module)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Hexa-LED flash, HDR, panorama",,,About 640 EUR,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 900 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~71.4% screen-to-body ratio)","32 MP, f/2.0, (wide), 1.2µm",Corning Gorilla Glass 5,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2022, October 31",256GB 12GB RAM,,Android 12,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 41, 66, 77, 78, 79 SA/NSA/Sub6",,,409 g (14.43 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,172.7 x 80.4 x 12.5 mm (6.80 x 3.17 x 0.49 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-17-pro.jpg,Li-Po 5380 mAh,,,MagSafe compatible accessories,,Ulefone Armor 17 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"66W wired, 53% in 15 min15W wirelessWireless reversed",,Mali-G57 MC2,"2022, October 31",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF8 MP, f/2.2, 119˚, (ultrawide), 1/4.0"", 1.12µm8 MP, (night vision), 2 infrared night vision lights","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Triple-LED flash, HDR, panorama",,,About 260 EUR,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~75.1% screen-to-body ratio)","16 MP, f/2.2, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2022, October 31",256GB 8GB RAM,,Android 12,,Black,,,,,,290 g (10.23 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliantFlashlight with a dedicated buttonAccessory connector (ulefone endoscope, microscope)",,173.4 x 83.4 x 18.3 mm (6.83 x 3.28 x 0.72 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-16-pro.jpg,Li-Po 9600 mAh,,,eMMC 5.1,,Ulefone Power Armor 16 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired5W reverse wired,,PowerVR GE8320,"2022, September 16",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes (122-decibel),Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 66","LED flash, HDR, panorama",,,About 220 EUR,,,IPS LCD,,,Mediatek MT6762G Helio G25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"5.93 inches, 90.7 cm2(~62.8% screen-to-body ratio)","8 MP, f/2.0, (wide), 1.12µm",,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector","16 MP, f/1.8, (wide), 1.12µm, PDAF2 MP, f/2.4, (macro)","Available. Released 2022, September 16",64GB 4GB RAM,,Android 12,,"Black, Black/Orange",,,,,,405 g (14.29 oz),,"720 x 1440 pixels, 18:9 ratio (~271 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,158.2 x 76.7 x 19.3 mm (6.23 x 3.02 x 0.76 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-x11-pro.jpg,Li-Po 8150 mAh,,,eMMC 5.1,,Ulefone Power Armor X11 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity, compass",1080p@30fps,,,PowerVR GE8320,"2022, September 16",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28","Dual-LED flash, HDR, panorama",,,About 170 EUR,,,IPS LCD,,,Mediatek MT6762G Helio G25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~63.2% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG","16 MP, f/1.8, (wide), 1.12µm, PDAF2 MP, f/2.4, (depth)","Available. Released 2022, September 16",64GB 4GB RAM,,Android 12,,Black,,,,,,330 g (11.64 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliantBuilt-in wireless earbuds housed inside the top side of the phone; charging,,170.2 x 79.6 x 18.2 mm (6.70 x 3.13 x 0.72 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor15.jpg,Li-Po 6600 mAh,,,,,Ulefone Armor 15,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE Cat13 300/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, proximity, gyro, compass",1080p@30fps,18W wired,,PowerVR GE8320,"2022, July 27",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"GPS, GLONASS, BDS, GALILEO",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,About 300 EUR,,,IPS LCD,,,Mediatek MT6765G Helio G35 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~56.6% screen-to-body ratio)","16 MP, f/2.4, (wide), 1.0μm",,"5.0, A2DP","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","12 MP, f/1.8, (wide), 1.4μm13 MP, f/2.4, 106˚ (ultrawide)","Available. Released 2022, August 10",128GB 6GB RAM,,Android 12,,"Meteorite Black, Tech Blue, Sport Red",,,,,,346 g (12.20 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,150 x 78.9 x 14.4 mm (5.91 x 3.11 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x6-pro.jpg,Li-Po 4000 mAh,,,eMMC 5.1,,Ulefone Armor X6 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity, compass",720p@30fps,,,PowerVR GE8320,"2022, July 16",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, BDS, GALILEO",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20",Dual-LED flash,,,,,"5 MP, f/2.2",IPS LCD,,,Mediatek MT6761 Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~58.2% screen-to-body ratio)","13 MP, f/2.2, (wide), AF",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2022, July 16",32GB 4GB RAM,,Android 12,,"Black, Orange",,,,,,227 g (8.01 oz),,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,,173.6 x 79.1 x 10.2 mm (6.83 x 3.11 x 0.40 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note12.jpg,Li-Po 7700 mAh,,,,,Ulefone Note 12,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity",Yes,10W wired,,PowerVR GE8300,"2022, July",Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),"GPS, GLONASS, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"13 MP, (wide), AF2 MP, (macro)2 MP, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 66","LED flash, HDR, panorama",,HDR,,,,IPS LCD,,,Unisoc Tiger T310 (12 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.82 inches, 110.5 cm2(~80.4% screen-to-body ratio)",8 MP,,"4.2, A2DP","Stereo FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2022, July",128GB 4GB RAM,,Android 11,,"Black, Red, Blue",,,,,,237 g (8.36 oz),,720 x 1640 pixels (~263 ppi density)
eMMC 5.1,,155.4 x 73.4 x 8.5 mm (6.12 x 2.89 x 0.33 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note6t.jpg,Li-Po 3300 mAh,,,,,Ulefone Note 6T,,,microSDXC (dedicated slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity",Yes,,,PowerVR GE8320,"2022, May 13",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 66",LED flash,,,,,,IPS LCD,,,Mediatek MT6761 Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.1 inches, 91.3 cm2(~80.1% screen-to-body ratio)",5 MP,,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",microUSB 2.0,"13 MP, (wide), AF2 MP, (depth)","Available. Released 2022, May 13",64GB 3GB RAM,,Android 12,,"Black, Green, Purple, Red",,,,,,163 g (5.75 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
