,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
"Second TFT display, 65K colors, 176 x 65 pixelsDual face and sweeping touch",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 30 min,,,,,,,,Class 10,Class 10,Stereo FM radio,,,,Up to 155 h,,About 180 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~134 ppi density),,,"2006, December",GSM,No,1.07 W/kg (head)     0.31 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-f300.gif,"2.1 inches, 33 x 42 mm, 13.9 cm2(~30.5% screen-to-body ratio)",Samsung F300,,,"1000 entries, Photocall",,No,,Removable Li-Ion 720 mAh battery,No,,,,0.68 W/kg (head),MP3/AAC/AAC+/WMA playerPredictive text inputOrganizerVoice memo,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS",103.5 x 44 x 9.4 mm (4.07 x 1.73 x 0.37 in),,128MB,2.0,,,Yes,"2.0, A2DP",,No,,77 g (2.72 oz),No,320p,,,,,,,Samsung,,,,"Black/Blue, White/Orange, Red","TFT, 256K colors",,,,,,
"Second external display OLED, 65K colors (80 x 64 pixels)",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Cancelled,,,,WAP 2.0/xHTML,,,,,,,,,,,No,,,,,,,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~186 ppi density)",,,"2006, December",GSM / HSPA,No,0.82 W/kg (head)     0.27 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-p940.gif,"2.15 inches, 14.3 cm2",Samsung P940,,,Yes,,No,,Removable battery,"Yes, MIDP 2.0",,,,0.83 W/kg (head),DVB-H TV broadcast receiverTV-outMP3/AAC/AAC playerPredictive text inputOrganizer,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, MMS, Email",,,,2.0,,,No,"v.2.0, A2DP",,Yes,,,No,Yes,,HSPA 1.8 Mbps,,,,,Samsung,,,,Black,"TFT, 256K colors",,,HSDPA 2100,,,
DVB-H TV broadcast receiverTV-outMP3/AAC/AAC playerPredictive text inputOrganizer,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h,,,,,,,,,,No,,,,Up to 200 h,,About 290 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,"2006, December",GSM / HSPA,,0.30 W/kg (head)     0.34 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-p930.gif,"2.3 inches, 16.4 cm2(~31.2% screen-to-body ratio)",Samsung P930,,,Yes,,No,,Removable Li-Ion 950 mAh battery,"Yes, MIDP 2.0",,,,0.70 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, MMS, Email",107 x 49 x 19.7 mm (4.21 x 1.93 x 0.78 in),,20MB,1.1,,,No,1.2,,Yes,,119 g (4.20 oz),No,Yes,,HSPA 1.8 Mbps,,,,,Samsung,,,,Onyx Black,"TFT, 256K colors",,,HSDPA 2100,,,
"Second external mono display (96 x 96 pixels), backlight in 7 colors",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,Yes,No,,,,,,About 80 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~128 ppi density),,,"2007, January. Released 2007, October",GSM,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e790.gif,"2.2 inches, 35 x 43 mm, 15.2 cm2(~34.5% screen-to-body ratio)",Samsung E790,,,"1000 entries, Photocall",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.88 W/kg (head),MP3/AAC/AAC+/AAC++/WMA playerPredictive text inputOrganizerUnit convertorVoice memo,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",92 x 48 x 16.5 mm (3.62 x 1.89 x 0.65 in),,80MB,Proprietary,,,Yes,"1.2, A2DP",,Yes + downloadable,,82 g (2.89 oz),No,QCIF,,,,,,,Samsung,,,,Silver,"TFT, 256K colors",,,,,,
GSM 850 / 1800 / 1900 - Samsung E496,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,Class 10,No,,,,,,About 130 EUR,MP3/AAC/AAC+ playerYahoo searchPredictive text inputOrganizerVoice memo,,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~128 ppi density),,,"2006, November",GSM,"Second external mono display (128 x 32 pixels), 32 x 8 mm, backlight in 7 colors",0.71 W/kg (head)     0.34 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e490.gif,"2.2 inches, 35 x 43 mm, 15.2 cm2(~33.1% screen-to-body ratio)",Samsung E490,,,"1000 entries, Photocall",,No,,Removable Li-Ion 850 mAh battery,"Yes, MIDP 2.0",,,,0.48 W/kg (head),No,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS",94 x 49 x 15.5 mm (3.70 x 1.93 x 0.61 in),,22MB,Proprietary,,,"Yes, with stereo speakers",Yes,,Yes + downloadable,,83 g (2.93 oz),No,Yes,,,,,,,Samsung,,,,Red/Silver and Red/Black (different keypads),"TFT, 65K colors",,,,,,
"Second external display STN, 65K colors (96 x 96 pixels)",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,Class 10,FM radio,,,,,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,128 x 160 pixels (~102 ppi density),,,"2006, November",GSM,No,0.46 W/kg (head)     0.51 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e480.gif,"2.0 inches, 32 x 40 mm, 12.6 cm2(~27.9% screen-to-body ratio)",Samsung E480,,,"1000 entries, Photocall",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.37 W/kg (head),MP3/AAC/AAC+ playerPhoto editorPredictive text inputOrganizerVoice memo,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, MMS, Email",94 x 48 x 16 mm (3.70 x 1.89 x 0.63 in),,10MB,Proprietary,,,No,"2.0, A2DP",,Yes + downloadable,,85 g (3.00 oz),No,320p,,,,,,,Samsung,,,,"Silver, Black","TFT, 65K colors",,,,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,Yes,No,,,,,,About 140 EUR,,,,1.3 MP,,GSM 850 / 900 / 1800 / 1900,176 x 220 pixels (~141 ppi density),,,"2006, October",GSM,MP3/AAC/AAC+ playerPredictive text inputOrganizer,0.46 W/kg (head)     0.60 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e390.gif,"2.0 inches, 12.6 cm2(~30.1% screen-to-body ratio)",Samsung E390,,,"1000 entries, Photocall",,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.46 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",93 x 45 x 16 mm (3.66 x 1.77 x 0.63 in),,15MB,Proprietary,,,Yes,"2.0, A2DP",,Yes + downloadable,,80 g (2.82 oz),No,Yes,,,,,,,Samsung,,,,Black,"TFT, 65K colors",,,,,,
"External STN display, 96 x 96 pixels",,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h,,,,,,,,Class 10,No,No,,,,Up to 200 h,,About 90 EUR,,,,VGA,,GSM 900 / 1800 / 1900,"120 x 160 pixels, 4:3 ratio (~105 ppi density)",,,"2007, Q3. Released 2008",GSM,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x550.gif,"1.9 inches, 11.2 cm2(~28.2% screen-to-body ratio)",Samsung X550,,,"500 entries, Photocall",,No,,Removable battery,"Yes, MIDP 2.0",,,,0.99 W/kg (head),Predictive text inputOrganizerVoice memo,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",90 x 44 x 18.8 mm (3.54 x 1.73 x 0.74 in),,2MB,Proprietary,,,Yes,2.0,,Yes,,75 g (2.65 oz),No,No,,,,,,,Samsung,,,,,"TFT, 65K colors",,,,,,
No,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h 30 min,,,,,,,,Class 10,No,FM radio,,,,Up to 230 h,,About 90 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~108 ppi density),,,"2006, October",GSM,Predictive text inputOrganizerVoice memo,1.00 W/kg (head)     0.39 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x540.gif,"1.9 inches, 30 x 38 mm, 11.4 cm2(~27.1% screen-to-body ratio)",Samsung X540,,,"500 entries, Photocall",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.79 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",90 x 46.5 x 17.9 mm (3.54 x 1.83 x 0.70 in),,2MB,Proprietary,,,Yes,"Yes, headset support only",,Yes + downloadable,,90 g (3.17 oz),No,No,,,,,,,Samsung,,,,"Pearly White, Gold","TFT, 65K colors",,,,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 5 h,,,,,,,,Class 10,Yes,FM radio,,,,Up to 250 h,,About 90 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~102 ppi density),,,"2006, October",GSM,MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,0.48 W/kg (head)     0.54 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e250.gif,"2.0 inches, 32 x 40 mm, 12.6 cm2(~25.6% screen-to-body ratio)",Samsung E250,,,"1000 entries, Photocall",,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.70 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",99.5 x 49.5 x 14.1 mm (3.92 x 1.95 x 0.56 in),,10MB,1.1,,,Yes,"2.0, A2DP",,Yes + downloadable,,80 g (2.82 oz),No,QCIF,,,,,,,Samsung,,,,"Silver, Black","TFT, 65K colors",,,,,,
No,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 1.2/xHTML,Up to 6 h 20 min,,,,,,,,Class 10,No,Stereo FM radio,,,,Up to 310 h,,About 70 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~108 ppi density),,,"2006, October",GSM,IrDA for Phonebook contacts onlyPredictive text inputOrganizerVoice memo,1.36 W/kg (head)     0.24 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x520.gif,"1.9 inches, 11.4 cm2(~30.4% screen-to-body ratio)",Samsung X520,,,"Yes, 1000 entries",,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.85 W/kg (head),,,Mini-SIM,,Yes,,,No,,"SMS, EMS, MMS",89 x 42 x 18 mm (3.50 x 1.65 x 0.71 in),,2.8MB,Proprietary,,,Yes,No,,Yes + downloadable,,80 g (2.82 oz),No,No,,,,,,,Samsung,,,,"Black, Blue, Red, Green","TFT, 65K colors",,,,,,
100 short messages700 KB for MMS500 KB for Java600 KB for sounds and images,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 1.2,Up to 3 h 30 min,,,,,,,,Class 10,No,No,,,,Up to 250 h,,About 80 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~108 ppi density),,,"2006, October",GSM,No,0.22 W/kg (head)     0.24 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x530.gif,"1.9 inches, 30 x 38 mm, 11.4 cm2(~26.6% screen-to-body ratio)",Samsung X530,,,"1000 entries, Photocall",,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.37 W/kg (head),MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,,Mini-SIM,,Yes,,,No,,"SMS, EMS, MMS",95 x 45 x 18 mm (3.74 x 1.77 x 0.71 in),,,Proprietary,,,Yes,No,,Yes,,79 g (2.79 oz),No,No,,,,,,,Samsung,,,,"Silver, Blue, Pink","TFT, 65K colors",,,,,,
No,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 1.2,Up to 7 h,,,,,,,,Class 10,No,No,,,,Up to 325 h,,,,,,,,GSM 900 / 1800,128 x 160 pixels (~114 ppi density),,,"2006, October",GSM,Predictive text inputOrganizer,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c300.gif,"1.8 inches, 10.2 cm2(~25.2% screen-to-body ratio)",Samsung C300,,,1000 entries,,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.48 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",92 x 44 x 18.8 mm (3.62 x 1.73 x 0.74 in),,2MB,No,,,Yes,No,,Yes + downloadable,,94 g (3.32 oz),No,,,,,,,,Samsung,,,,"Silver, Black","CSTN, 65K colors",,,,,,
Second external mono display (96 x 96 pixels),,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h,,,,,,,,Class 10,No,FM radio,,,,Up to 230 h,,About 60 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~128 ppi density),,,"2007, May",GSM,No,1.09 W/kg (head)     0.58 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-m300.gif,"1.6 inches, 8.1 cm2(~25.2% screen-to-body ratio)",Samsung M300,,,500 entries,,No,,Removable Li-Ion 700 mAh battery,"Yes, MIDP 2.0",,,,0.99 W/kg (head),Predictive text inputOrganizerVoice memo,,Mini-SIM,,,,,No,,"SMS, MMS",80 x 40 x 16.7 mm (3.15 x 1.57 x 0.66 in),,600 KB,Proprietary,,,Yes,No,,Yes + downloadable,,63 g (2.22 oz),No,Yes,,,,,,,Samsung,,,,Ocean Blue,"TFT, 65K colors",,,,,,
"Second external UFB display, 65K colors (96 x 96 pixels)",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 4 h,,,,,,,,Class 10,Yes,FM radio,,,,Up to 250 h,,About 100 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~102 ppi density),,,"2006, November",GSM,No,0.50 W/kg (head)     0.62 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e690.gif,"2.0 inches, 12.6 cm2(~27.9% screen-to-body ratio)",Samsung E690,,,Yes,,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.71 W/kg (head),MP3/AAC/ACC+ playerPredictive text inputOrganizerSyncML DS1.1Voice memo,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, MMS, Email",94 x 48 x 15.9 mm (3.70 x 1.89 x 0.63 in),,16MB,1.1,,,Yes,2.0,,Yes + downloadable,,95 g (3.35 oz),No,Yes,,,,,,,Samsung,,,,"Silver, Pink","TFT, 65K colors",,,,,,
Second external OLED mono display (176 x 16 pixels),,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 6 h,,,,,,,,Class 10,Yes,No,,,,Up to 250 h,,About 120 EUR,"MP4 playerMP3/AAC/ACC+ playerPredictive text inputOrganizerPedometer, calories burnedVoice memo",,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~157 ppi density),,,"2006, October",GSM,"20 MB for pictures, video, music, ringtones3 MB for MMS2 MB for Java",0.63 W/kg (head)     0.36 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e570.gif,"1.8 inches, 10.2 cm2(~26.3% screen-to-body ratio)",Samsung E570,,,"1000 x 12 fields, Photo call",,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.75 W/kg (head),No,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",86 x 45 x 24 mm (3.39 x 1.77 x 0.94 in),,,1.2,,,Yes,"1.2, A2DP",,Yes + downloadable,,81 g (2.86 oz),No,QCIF,,,,,,,Samsung,,,,"Sweet Pink, Festival Orange, Metallic Blue, Special Silver, Viola Black.","TFT, 65K colors",,,,,,
"Second external display OLED, 65K colors (96 x 96 pixels)",,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,No,No,,,,,,About 80 EUR,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~114 ppi density),,,"2006, October",GSM,No,1.00 W/kg (head)     0.32 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e420.gif,"1.8 inches, 10.2 cm2(~26.8% screen-to-body ratio)",Samsung E420,,,"500 entries, Photocall",,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.90 W/kg (head),Predictive text inputOrganizer,,Mini-SIM,,,,,No,,"SMS, MMS",83.6 x 45.5 x 17.4 mm (3.29 x 1.79 x 0.69 in),,2MB,No,,,Yes,No,,"SnowBallFight, BubbleSmile + Downloadable",,77 g (2.72 oz),No,No,,,,,,,Samsung,,,,Red,"OLED, 65K colors",,,,,,
4 MB for Java apps,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h,,,,,,,,Class 10,Class 10,No,,,,Up to 120 h,,About 150 EUR,MP3/AAC/AAC+/e-AAC+/WMA playerVideo playerFlight modeOrganizerTimerVoice memo,,,1.3 MP,,GSM 900 / 1800 / 1900,"128 x 220 pixels, 16:9 ratio (~174 ppi density)",,,"2006, September",GSM,No,0.18 W/kg (head)     0.65 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x830.gif,"1.46 inches, 6.0 cm2(~23.7% screen-to-body ratio)",Samsung X830,,,1000 entries,,No,,Removable Li-Po 800 mAh battery,No,,,,0.12 W/kg (head),3D sound,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",84 x 30 x 20 mm (3.31 x 1.18 x 0.79 in),,1GB,2.0,,,No,"1.2, A2DP",,Yes + downloadable,,72 g (2.54 oz),No,CIF,,,,,,,Samsung,,,,"Black, Pure White, Orange, Pink","TFT, 256K colors",,,,,,
Handwriting recognition,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h 50 min,,,,,,,,Class 10,Class 10,No,,,,Up to 350 h,,About 110 EUR,,,,1.3 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,"2006, October",GSM,No,0.64 W/kg (head)     0.53 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e890.gif,"2.3 inches, 16.4 cm2(~32.9% screen-to-body ratio)",Samsung E890,,,Yes,,No,,Removable Li-Ion 880 mAh battery,"Yes, MIDP 2.0",,,,0.67 W/kg (head),MP3/AAC/AAC+ playerMP4 playerOrganizerVoice memoWireless / PictBridge printingTV-out,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email, Instant Messaging",99.5 x 50 x 14.6 mm (3.92 x 1.97 x 0.57 in),,54MB,1.1,,,No,"2.0, A2DP",,Yes + Java downloadable,,82 g (2.89 oz),No,Yes,,,,,,,Samsung,,,,Silver,"TFT resistive touchscreen, 256K colors",,,,,,
Handwriting recognition,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h 50 min,,,,,,,,Class 10,Class 10,No,,,,Up to 350 h,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio",,,"2006, October",GSM,No,0.64 W/kg (head)     0.53 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e898.gif,,Samsung E898,,,Yes,,No,,Removable battery,"Yes, MIDP 2.0",,,,0.40 W/kg (head),MP3/AAC/AAC+ playerMP4 playerKINGSOFT bilingual dictionaryOrganizerVoice memoWireless / PictBridge printing,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email, Instant Messaging",99.5 x 50 x 14.6 mm (3.92 x 1.97 x 0.57 in),,80MB,Proprietary,,,No,2.0,,Yes + Java downloadable,,82 g (2.89 oz),No,Yes,,,,,,,Samsung,,,,Silver,"TFT resistive touchscreen, 256K colors",,,,,,
200 short messages400 organiser events,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 6 h,,,,,,,,Class 10,Yes,No,,,,Up to 300 h,,About 210 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,"320 x 240 pixels, 4:3 ratio (~211 ppi density)",,,"2006, September",GSM,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-p310.gif,"1.9 inches, 38 x 29 mm, 11.2 cm2(~24.1% screen-to-body ratio)",Samsung P310,,,"1000 x 10 fields, Photo call",,No,,Removable Li-Po 550 mAh battery,"Yes, MIDP 2.0",LED flash,,,1.00 W/kg (head),"MP3/AAC/AAC+ playerMP4 playerDocument viewer (Word, Excel, PowerPoint, PDF)TV-out (optional cable)OrganizerVoice memoSyncML",,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",86 x 54 x 8.9 mm (3.39 x 2.13 x 0.35 in),,80MB,Proprietary,,,Yes,"1.2, A2DP",,Yes + Java downloadable,,85 g (3.00 oz),No,CIF,,,,,,,Samsung,,,,Silver,"TFT, 256K colors",,,,,,
"Video telephony & streamingMP3/AAC/AAC+/e-AAC+/WMA  playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo",VGA videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 5 h,,,,,,,,,,No,,,,Up to 300 h,,About 180 EUR,,,,"3.15 MP, AF",,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,"2006, August",GSM / HSPA,,0.10 W/kg (head)     0.10 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-z720.gif,"2.1 inches, 13.7 cm2(~25.5% screen-to-body ratio)",Samsung Z720,,,"1000 entries, Photocall",,No,,Removable Li-Ion 900 mAh battery,"Yes, MIDP 2.0",,,,0.80 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",104.5 x 51.3 x 13.8 mm (4.11 x 2.02 x 0.54 in),,20MB,1.1,,,Yes,"2.0, A2DP",,Yes + downloadable,,80 g (2.82 oz),No,Yes,,HSPA,,,,,Samsung,,,,"Violet/Gold, Silver, Red","TFT, 256K colors",,,HSDPA 2100,,,
"MP3/AAC/AAC+/e-AAC+ playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)Organizer",Yes,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,iMode,Up to 4 h,,,,,,,,,,No,,,,Up to 200 h,,,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,"2006, October",GSM / UMTS,,0.44 W/kg (head)     0.35 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-z650i.gif,"2.2 inches, 15.0 cm2(~29.1% screen-to-body ratio)",Samsung Z650i,,,1000 entries,,No,,Removable Li-Ion 900 mAh battery,"Yes, DoJa 2.5",,,,0.39 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",101 x 51 x 15.9 mm (3.98 x 2.01 x 0.63 in),,10MB,Proprietary,,,Yes,"2.0, A2DP",,Yes + downloadable,,95 g (3.35 oz),No,320p,,"Yes, 384 kbps",,,,,Samsung,,,,Black,"TFT, 256K colors",,,UMTS 2100,,,
"Second external OLED, 16 gray display (96 x 16 pixels)",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 5 h,,,,,,,,,,No,,,,Up to 250 h,,,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,"2006, August",GSM / HSPA,No,0.30 W/kg (head)     0.38 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-z620.gif,"2.3 inches, 16.4 cm2(~29.5% screen-to-body ratio)",Samsung Z620,,,"1000 entries, Photocall",,No,,Removable Li-Ion 900 mAh battery,"Yes, MIDP 2.0",rotating lens,,,0.33 W/kg (head),"MP3/AAC/AAC+/e-AAC+ playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo",,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",103 x 54 x 11.8 mm (4.06 x 2.13 x 0.46 in),,20MB,2.0,,,Yes,"1.2, A2DP",,Yes + downloadable,,96.5 g (3.39 oz),No,320p,,HSPA,,,,,Samsung,,,,"Black/Pink, Silver, Blue","TFT, 256K colors",,,HSDPA 2100,,,
