,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
No,,No,,No,Mini-SIM,GSM,80 g (2.82 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2006, October",,,No,,,No,Black/Silver,,Up to 5 h,102 x 80 pixels,GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,4K colors,No,,No,,Yes,Predictive text inputCalculatorDate & ClockAuto power on/off,,No,Up to 250 h,,No,alcatel OT-E205,,,2,96 x 42.5 x 19 mm (3.78 x 1.67 x 0.75 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-e205.gif,,,,,,,,,,
No,,No,1.10 W/kg (head),No,Mini-SIM,GSM,69 g (2.43 oz),No,No,,,Removable Li-Ion 720 mAh battery,,,,Vibration; Polyphonic(8) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2007, February",,,No,,,No,Black,,Up to 5 h,96 x 76 pixels,GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,"CSTN, 65K colors",No,,No,,250 entries,Predictive text inputCalculatorDate & Clock,,No,Up to 250 h,,No,alcatel OT-E201,,,2,98 x 42.5 x 18.5 mm (3.86 x 1.67 x 0.73 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e-201.gif,1.49 W/kg (head)     0.61 W/kg (body),,,,,,,,,
No,,No,0.96 W/kg (head),No,Mini-SIM,GSM,69 g (2.43 oz),No,No,,,Removable Li-Ion 720 mAh battery,,,,Vibration; Polyphonic(8) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2007, February",,,No,,,No,Black,,Up to 5 h,"96 x 64 pixels, 3:2 ratio (~89 ppi density)",GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,Monochrome graphic,No,,No,,250 entries,Predictive text inputCalculatorDate & Clock,,No,Up to 250 h,,No,alcatel OT-E101,,"1.3 inches, 5.0 cm2(~12.1% screen-to-body ratio)",2,98 x 42.5 x 18.5 mm (3.86 x 1.67 x 0.73 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e-101.gif,1.24 W/kg (head)     0.62 W/kg (body),,,,,,,,,
No,,No,,No,Mini-SIM,GSM,84 g (2.96 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16),,,,,"Yes, MIDP 2.0",,,,,"20 dialed, 20 received, 20 missed calls",,"2007, February",,,No,,,No,Glossy White with pink logos,,Up to 6 h 45 min,128 x 160 pixels (~114 ppi density),GSM 900 / 1800,,,,No,SMS,,,alcatel,,Cancelled,"CSTN, 65K colors",WAP 2.0,,No,,500 entries,OrganizerVoice memoPredictive text input,,No,Up to 320 h,,No,alcatel Lollipops,,"1.8 inches, 10.2 cm2(~25.5% screen-to-body ratio)",2,88 x 45.5 x 21 mm (3.46 x 1.79 x 0.83 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-lollipops.gif,,,VGA,,,,4MB,,,
Embedded images and animations,,No,,No,Mini-SIM,GSM,81 g (2.86 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2007, February",,,No,,,No,"Dark Blue, Light Purple, Glossy White",,Up to 5 h,"120 x 80 pixels, 3:2 ratio",GSM 900 / 1800,,,Predictive text inputCalculatorDate & Clock,,SMS,,,alcatel,,Discontinued,4K colors,No,,No,,250 entries,No,,No,Up to 250 h,,No,alcatel OT-E220,,,2,86 x 44.3 x 22.5 mm (3.39 x 1.74 x 0.89 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-e220.gif,,,,,,,,,,
GSM 850 / 1900 - US version,,Proprietary,,No,Mini-SIM,GSM,80 g (2.82 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Polyphonic(64), MP3 ringtones",No,,,,No,,,,,"20 dialed, 20 received, 20 missed calls",,"2007, February",,,No,,,No,"Pink, Light Blue, Dark Chrome",,Up to 7 h,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800,,,250 SMS messages,,SMS,,MP3 playerPredictive text inputCalculator,alcatel,,Cancelled,"CSTN, 65K colors",No,,No,,250 entries,Embedded images and animations,,No,Up to 250 h,,microSD (dedicated slot),alcatel OT-E805,,,2 embedded,97 x 45 x 17.3 mm (3.82 x 1.77 x 0.68 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e805.gif,,,,,,,,,,
GSM 850 / 1900 - US version,,No,1.00 W/kg (head),No,Mini-SIM,GSM,83 g (2.93 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,Predictive text inputOrganizer,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2007, February",,,No,,,No,"White, Brown, Fuchsia",,Up to 10 h,102 x 80 pixels (~100 ppi density),GSM 900 / 1800,,,No,,SMS,,,alcatel,,Cancelled,"CSTN, 4096 colors",No,,No,,250 entries,Embedded images and animations,,No,Up to 250 h,,No,alcatel OT-E230,,"1.3 inches, 5.3 cm2(~13.9% screen-to-body ratio)",Embedded,84.6 x 45 x 23.4 mm (3.33 x 1.77 x 0.92 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e230.gif,,,,,,,,,,
GSM 850 / 1900 - US version,,No,1.00 W/kg (head),No,Mini-SIM,GSM,85 g (3.00 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,Predictive text inputOrganizer,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,2006,,,No,,,No,"Circles Purple, Flowers White, Surf Blue",,Up to 6 h 30 min,128 x 160 pixels (~114 ppi density),GSM 900 / 1800,,,No,No,"SMS, MMS",,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,500 entries,Embedded images and animations,,No,Up to 320 h,,No,alcatel OT-C635,,"1.8 inches, 10.2 cm2(~25.7% screen-to-body ratio)",3 embedded,88 x 45 x 21 mm (3.46 x 1.77 x 0.83 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-c635.gif,1.34 W/kg (head)     0.60 W/kg (body),,VGA,,,,4MB,,,
GSM 850 / 1900 - US version,,No,1.00 W/kg (head),No,Mini-SIM,GSM,85 g (3.00 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,Predictive text inputOrganizer,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,"Soft Touch Black, Glossy Red",,Up to 6 h 30 min,128 x 160 pixels (~114 ppi density),GSM 900 / 1800,,,No,No,"SMS, MMS",,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,500 entries,Embedded images and animations,,No,Up to 320 h,,No,alcatel OT-C630,,"1.8 inches, 10.2 cm2(~25.7% screen-to-body ratio)",3 embedded,88 x 45 x 21 mm (3.46 x 1.77 x 0.83 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-c630.gif,1.00 W/kg (head)     1.30 W/kg (body),,VGA,,,,4MB,,,
GSM 850 / 1900 - US version,,Proprietary,,No,Mini-SIM,GSM,76 g (2.68 oz),No,No,,,Removable Li-Ion battery,,,,Vibration; Polyphonic(64) ringtones,No,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,"Soft Touch Black, Soft Touch Orange, Glossy White",,Up to 10 h,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800,,,250 SMS messages,,SMS,,MP3 playerPredictive text inputCalculator,alcatel,,Discontinued,"CSTN, 65K colors",No,,No,,250 entries,Embedded images and animations,,No,Up to 250 h,,microSD (dedicated slot),alcatel OT-E801,,,2 embedded,96.5 x 45 x 17.5 mm (3.80 x 1.77 x 0.69 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e801.gif,,,,,,,,,,
GSM 850 / 1900 - US version,,No,,No,Mini-SIM,GSM,76 g (2.68 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,No,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,Black,,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,250 SMS messages,,SMS,,Predictive text inputCalculator,alcatel,,Discontinued,Color graphic,No,,No,,100 entries,Embedded images and animations,,No,Up to 250 h,,No,alcatel OT-E100,,,2 embedded,96 x 42.5 x 19 mm (3.78 x 1.67 x 0.75 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e100.gif,,,,,,,,,,
GSM 850 / 1900 - US version,,No,1.00 W/kg (head),No,Mini-SIM,GSM,85 g (3.00 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,Predictive text inputOrganizer,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,Black,,Up to 6 h 30 min,128 x 160 pixels (~114 ppi density),GSM 900 / 1800,,,No,No,"SMS, MMS",,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,500 entries,Embedded images and animations,,No,Up to 320 h,,No,alcatel OT-C550,,"1.8 inches, 10.2 cm2(~22.6% screen-to-body ratio)",3 embedded,102.5 x 44 x 15.5 mm (4.04 x 1.73 x 0.61 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-c550.gif,1.09 W/kg (head)     0.96 W/kg (body),,VGA,,,,4MB,,,
GSM 850 / 1900 - US version,,No,,No,Mini-SIM,GSM,90 g (3.17 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,No,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,Black,,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,250 SMS messages,,SMS,,Predictive text inputOrganizer,alcatel,,Discontinued,"CSTN, 4096 colors",No,,No,,250 entries,Embedded images and animations,,No,Up to 275 h,,No,alcatel OT-E265,,,2 embedded,87 x 46 x 23.6 mm (3.43 x 1.81 x 0.93 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e265.gif,,,,,,,,,,
GSM 850 / 1900 - US version,,No,,No,Mini-SIM,GSM,76 g (2.68 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,No,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,Silver,,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,250 SMS messages,,SMS,,Predictive text inputCalculator,alcatel,,Discontinued,Monochrome graphics,No,,No,,250 entries,Embedded images and animations,,No,Up to 250 h,,No,alcatel OT-E105,,,2 embedded,96 x 42.5 x 19 mm (3.78 x 1.67 x 0.75 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e105.gif,,,,,,,,,,
No,,No,,No,Mini-SIM,GSM,90 g (3.17 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2006, Q1",,,No,,,No,Black,,Up to 10 h,102 x 80 pixels (~86 ppi density),GSM 900 / 1800,,,,,"SMS, EMS",,,alcatel,,Discontinued,"CSTN, 4096 colors",No,,No,,250 entries,Predictive text inputOrganizer,,No,Up to 270 h,,No,alcatel OT-E260,,"1.5 inches, 27 x 28 mm, 7.0 cm2(~18.0% screen-to-body ratio)",2,87 x 45 x 25.5 mm (3.43 x 1.77 x 1.00 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e260.gif,,,,,,,,,,
Mirror effect,,No,,No,Mini-SIM,GSM,85 g (3.00 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Downloadable polyphonic, AAC ringtones",,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q3",,,No,,,No,Metallic Silver,,Up to 6 h 30 min,128 x 160 pixels,GSM 900 / 1800,,,Predictive text inputOrganizer,Yes,"SMS, MMS, Email",Yes,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"500 entries, Photo call, Videotones",No,,No,Up to 245 h,,No,alcatel OT-C750,,,Yes,102 x 47.5 x 19.8 mm (4.02 x 1.87 x 0.78 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-c750.gif,,,VGA,,,,3MB,,,
Downloadable wallpapers,,miniUSB,,Class 10,Mini-SIM,GSM,93 g (3.28 oz),Class 10,FM radio,,,Removable Li-Ion 800 mAh battery,,,,"Vibration; Downloadable polyphonic, MP3, AAC, AAC+ ringtones",,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,"Yes, 2.1 Stereo Surround Sound (2 tweeters + 1 bass loudspeaker)",,,2.0,Black,,Up to 8 h,176 x 220 pixels (~141 ppi density),GSM 900 / 1800 / 1900,,,"Predictive text inputOrganizerStopwatchIR transfer between compatible phonesTemperature, currency, and measure converterProfiles",Yes,"SMS, MMS, EMail, Instant Messaging",Yes,,alcatel,,Discontinued,"TFT, 256K colors",WAP 2.0/xHTML,,No,,"800 entries, Photo call, Videotones",No,,No,Up to 330 h,,"miniSD, up to 1 GB",alcatel OT-S853,,"2.0 inches, 32 x 40 mm, 12.6 cm2(~26.0% screen-to-body ratio)",Yes,103 x 47 x 20 mm (4.06 x 1.85 x 0.79 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-s853.gif,,,1.3 MP,,,,10MB,,,
Downloadable wallpapers,,,,No,Mini-SIM,GSM,108 g (3.81 oz),Yes,No,,,Removable Li-Ion 500 mAh battery,,,,Vibration; Downloadable polyphonic ringtones,,,,,"Yes, MIDP 1.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q2",,,No,,,No,,,Up to 3 h,128 x 160 pixels,GSM 900 / 1800,,,Predictive text inputOrganizer,No,"SMS, EMS, MMS",,,alcatel,,Cancelled,"TFT, 256K colors",WAP 1.2.1,,No,,"Yes, Photo call",No,,No,Up to 60 h,,No,alcatel OT-S850,,,Yes,87 x 42 x 19.6 mm (3.43 x 1.65 x 0.77 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-s850.gif,,,1.3 MP,,,,3MB,,,
No,,No,1.00 W/kg (head),No,Mini-SIM,GSM,85 g (3.00 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Downloadable polyphonic ringtones,,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2006, February",,,No,,,No,"Black, Red",,Up to 6 h 30 min,128 x 160 pixels (~114 ppi density),GSM 900 / 1800 / 1900,,,,No,"SMS, MMS",,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"500 entries, Photo call",Predictive text inputOrganizer,,No,Up to 320 h,,No,alcatel OT-C560,,"1.8 inches, 10.2 cm2(~22.6% screen-to-body ratio)",Yes,102.5 x 44 x 15.5 mm (4.04 x 1.73 x 0.61 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-c560.gif,1.00 W/kg (head)     1.30 W/kg (body),,VGA,,,,4MB,,,
Downloadable wallpapers,,,,No,Mini-SIM,GSM,80 g (2.82 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Push to talkPredictive text inputOrganizer,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,"Yes, with stereo speakers",,,No,"Black, White",,Up to 7 h,128 x 160 pixels,GSM 900 / 1800,,,3D sound,Yes,"SMS, EMS, MMS, EMail, Instant Messaging",Yes,,alcatel,,Cancelled,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"Yes, Photo call",No,,No,Up to 250 h,,No,alcatel OT-C555,,,Yes,101 x 48 x 18 mm (3.98 x 1.89 x 0.71 in),No,https://fdn2.gsmarena.com/vv/bigpic/alotc555.gif,,,VGA,,,,10MB,,,
No,,No,,No,Mini-SIM,GSM,88 g (3.10 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Downloadable polyphonic, WAV, AAC ringtones, composer",,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q3",,,Yes,,,No,"3 - Grey, Black, Green",,Up to 6 h 30 min,128 x 160 pixels,GSM 900 / 1800,,,,Yes,"SMS, MMS, Email",Yes,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"500 entries, Photo call",Predictive text inputOrganizer,,No,Up to 245 h,,No,alcatel OT-C552,,,Yes,100 x 47.5 x 18.2 mm (3.94 x 1.87 x 0.72 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-c552.gif,,,VGA,,,,3MB,,,
No,,,,No,Mini-SIM,GSM,80 g (2.82 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Downloadable polyphonic ringtones,,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,,,,128 x 160 pixels,GSM 900 / 1800,,,,Yes,"SMS, EMS, MMS",Yes,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"Yes, Photo call",Predictive text inputOrganizer,,No,,,No,alcatel OT-C551,,,Yes,101 x 48 x 19 mm (3.98 x 1.89 x 0.75 in),No,https://fdn2.gsmarena.com/vv/bigpic/alotc551.gif,,,VGA,,,,3MB,,,
Second external CSTN display 4096 colors (128 x 128 pixels)Downloadable wallpapers,,,,No,Mini-SIM,GSM,83 g (2.93 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Push to talkPredictive text inputOrganizer,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,"Yes, with stereo speakers",,,No,,,Up to 7 h,128 x 160 pixels,GSM 900 / 1800,,,3D sound,Yes,"SMS, EMS, MMS, EMail, Instant Messaging",Yes,,alcatel,,Cancelled,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"Yes, Photo call",No,,No,Up to 250 h,,No,alcatel OT-C656,,,Yes,89 x 48 x 24 mm (3.50 x 1.89 x 0.94 in),No,https://fdn2.gsmarena.com/vv/bigpic/alotc656.gif,,,VGA,,,,10MB,,,
Second external CSTN display 4096 colors (128 x 128 pixels),,,,No,Mini-SIM,GSM,90 g (3.17 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Downloadable polyphonic ringtones,,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,Yes,,,No,,,Up to 7 h,128 x 160 pixels,GSM 900 / 1800,,,Predictive text inputOrganizer,Yes,"SMS, EMS, MMS, Email (optional)",Yes,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"500 entries, Photo call",No,,No,Up to 250 h,,No,alcatel OT-C652,,,Yes,90 x 45 x 23 mm (3.54 x 1.77 x 0.91 in),No,https://fdn2.gsmarena.com/vv/bigpic/alotc652.gif,,,VGA,,,,3MB,,,
Second external CSTN display (96 x 26 pixels),,,,No,Mini-SIM,GSM,92 g (3.25 oz),Class 10,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Downloadable polyphonic, WAV ringtones, composer",,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,"Grey, White, Pearl grey",,Up to 4 h 30 min,128 x 160 pixels,GSM 900 / 1800 / 1900,,,Push to talkPredictive text inputVoice memoOrganizerDiary,Yes,"SMS, EMS, MMS, EMail, Instant Messaging",Yes,,alcatel,,Discontinued,"CSTN, 65K colors",WAP 2.0/xHTML,,No,,"500 fields, Photo call",No,,No,Up to 290 h,,No,alcatel OT-C651,,,"2 - Speed Devils, Gulo's Tale",90 x 48 x 24 mm (3.54 x 1.89 x 0.94 in),No,https://fdn2.gsmarena.com/vv/bigpic/alotc651.gif,,,VGA,,,,4.5MB,,,
No,,No,,No,Mini-SIM,GSM,75 g (2.65 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,Thinking Black,,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,"CSTN, 4096 colors",No,,No,,250 entries,Predictive text inputOrganizer,,No,Up to 270 h,,No,alcatel OT-E259,,,2,83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e259.gif,,,,,,,,,,
No,,No,,No,Mini-SIM,GSM,75 g (2.65 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,"Thinking Black, Metallic Blue, Lipstick Red",,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,,,"SMS, EMS",,,alcatel,,Discontinued,"CSTN, 4096 colors",No,,No,,250 entries,Predictive text inputOrganizer,,No,Up to 270 h,,No,alcatel OT-E256,,,2,83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in),No,https://fdn2.gsmarena.com/vv/bigpic/alote256.gif,,,,,,,,,,
Mirror effect,,No,,No,Mini-SIM,GSM,77 g (2.72 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,"Vibration; Polyphonic(16), MP3 ringtones",,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q3",,,No,,,No,Dark Chrome,,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,Predictive text inputOrganizer,,SMS,,,alcatel,,Discontinued,"CSTN, 4096 colors",No,,No,,250 entries,No,,No,Up to 270 h,,No,alcatel OT-E257,,,"2 - Bricks, Russia",83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e257.gif,,,,,,,,,,
Mirror effect,,No,,No,Mini-SIM,GSM,77 g (2.72 oz),,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q3",,,No,,,No,Dark Chrome,,Up to 10 h,102 x 80 pixels,GSM 900 / 1800,,,Predictive text inputCalculator,,SMS,,,alcatel,,Discontinued,"STN, monochrome graphics",,,No,,250 entries,No,,No,Up to 275 h,,No,alcatel OT-E160,,,"2 - Bricks, Russia",83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e160.gif,,,,,,,,,,
No,,No,,No,Mini-SIM,GSM,76 g (2.68 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,"Glossy Black, Metallic Purple, Pearl Grey",,Up to 5 h,102 x 80 pixels,GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,"CSTN, 4096 colors",No,,No,,250 numbers,Predictive text inputOrganizer,,No,Up to 250 h,,No,alcatel OT-E252,,,"2 - Bricks, Tetris",97 x 43 x 19 mm (3.82 x 1.69 x 0.75 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-e252.gif,,,,,,,,,,
No,,No,,No,Mini-SIM,GSM,77 g (2.72 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Polyphonic(16) ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,"Thinking Black, Metallic Blue, Lipstick Red",,Up to 10 h 30 min,102 x 80 pixels,GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,"STN, monochrome graphics",No,,No,,250 entries,Predictive text inputOrganizer,,No,Up to 275 h,,No,alcatel OT-E159,,,Yes,83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in),No,https://fdn2.gsmarena.com/vv/bigpic/ale159.gif,,,,,,,,,,
No,,No,,No,Mini-SIM,GSM,78 g (2.75 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Downloadable polyphonic ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,"Glossy Black, Metallic Purple, Pearl Grey",,Up to 5 h,102 x 80 pixels,GSM 900 / 1800,,,,,SMS,,,alcatel,,Discontinued,"Grayscale graphic, STN",No,,No,,250 entries,Predictive text inputOrganizer,,No,Up to 250 h,,No,alcatel OT-E158,,,Yes,97 x 43 x 19 mm (3.82 x 1.69 x 0.75 in),No,https://fdn2.gsmarena.com/vv/bigpic/ale158.gif,,,,,,,,,,
Pseudo color display,,No,,No,Mini-SIM,GSM,76 g (2.68 oz),No,No,,,Removable Li-Ion 650 mAh battery,,,,Vibration; Downloadable polyphonic ringtones,,,,,No,,,,,"10 dialed, 10 received, 10 missed calls",,"2005, Q1",,,No,,,No,"Night Blue, Metallic Black",,Up to 5 h,102 x 80 pixels,GSM 900 / 1800,,,Predictive text inputOrganizer,,SMS,,,alcatel,,Discontinued,Grayscale graphic,No,,No,,250 entries,No,,No,Up to 250 h,,No,alcatel OT-E157,,,2,96 x 42 x 20 mm (3.78 x 1.65 x 0.79 in),No,https://fdn2.gsmarena.com/vv/bigpic/ale157.gif,,,,,,,,,,
No,,Proprietary,,No,Mini-SIM,GSM,92 g (3.25 oz),Class 10,No,,,Removable Li-Ion 950 mAh battery,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,,,"Yes, MIDP 2.0",,,,,"10 dialed, 10 received, 10 missed calls",,"2004, Q4",,,No,,,No,"Aluminium, Electric Blue, Mystic Red, Green Lime",,Up to 5 h,"128 x 160 pixels, 12 lines",GSM 900 / 1800 / 1900,,,,Yes,"SMS, EMS, MMS",Yes,,alcatel,,Discontinued,"TFT, 256K colors",WAP 2.0/xHTML,,No,,"Yes, Photo call",Predictive text inputOrganizerVoice memoVoice dial,,No,Up to 250 h,,No,alcatel OT 757,,,Yes,106 x 46 x 18.5 mm (4.17 x 1.81 x 0.73 in),No,https://fdn2.gsmarena.com/vv/bigpic/alot757.gif,,,VGA,,,,4MB,,,
