,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
No,,,Corning Gorilla Glass,,"Yes, with stereo speakers",Up to 4 h (2G) / Up to 4 h 10 min (3G),,"3.8 inches, 41.1 cm2(~55.8% screen-to-body ratio)",HSDPA 850 / 1900 / 2100,,,LED flash,,Discontinued,,,Qualcomm QSD8250 Snapdragon S1,HTC,IPS LCD,"2.1, A2DP",Removable Li-Ion 1230 mAh battery,,,HTC 7 Surround,About 90 EUR,"2010, October. Released 2010, November","Accelerometer, proximity, compass",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,Adreno 200,,16GB 448MB RAM,0.43 W/kg (head)     0.81 W/kg (body),,119.7 x 61.5 x 13 mm (4.71 x 2.42 x 0.51 in),720p,"5 MP, AF",MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Twitter integrationYouTube clientDocument viewer/editorVoice memoPredictive text input,No,,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-7-surround.jpg,"GPS, A-GPS; Bing Maps","WAP 2.0/xHTML, HTML",,Up to 275 h (2G) / Up to 255 h (3G),GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Phone 7,Mini-SIM,,,165 g (5.82 oz),,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",1.0 GHz Scorpion,,,,,,,,,Yes
HSDPA 850 / 2100,,,Corning Gorilla Glass,,Yes,Up to 6 h 40 min (2G) / Up to 5 h 30 min (3G),,"3.7 inches, 39.0 cm2(~54.4% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 67dB / Noise 65dB / Ring 74dB,Xenon flash,,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm QSD8250 Snapdragon S1,HTC,S-LCD,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,,,HTC 7 Mozart,About 130 EUR,"2010, October. Released 2010, October","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,Adreno 200,,8GB 576MB RAM,,,119 x 60.2 x 11.9 mm (4.69 x 2.37 x 0.47 in),720p,"8 MP, AF",No,No,,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,Noise -86.6dB / Crosstalk -86.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-mozart-ofic.jpg,"GPS, A-GPS; Bing Maps",HTML,,Up to 360 h (2G) / Up to 435 h (3G),GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Phone 7,Mini-SIM,,,130 g (4.59 oz),,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",1.0 GHz Scorpion,,MP3/AAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerOrganizerDocument viewer/editorVoice memo/dialPredictive text input,,,,,,,Yes
No,,,Corning Gorilla Glass,,Yes,Up to 6 h 40 min (2G) / Up to 3 h 30 min (3G),,"3.8 inches, 41.1 cm2(~56.4% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 70dB / Noise 66dB / Ring 77dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm QSD8250 Snapdragon S1,HTC,S-LCD,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,,,HTC 7 Trophy,About 90 EUR,"2010, October. Released 2010, October","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11b/g/n,Adreno 200,,8GB 576MB RAM,1.48 W/kg (head),,118.5 x 61.5 x 12 mm (4.67 x 2.42 x 0.47 in),720p,"5 MP, AF",MP3/AAC+/WAV/WMA9 playerMP4/WMV9 playerOrganizerDocument viewer/editorFacebook integrationVoice memo/dialPredictive text input,No,,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,Noise -85.0dB / Crosstalk -83.0dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-trophy-ofic.jpg,"GPS, A-GPS; Bing Maps",HTML,,Up to 360 h (2G) / Up to 435 h (3G),GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Phone 7,Mini-SIM,,,140 g (4.94 oz),,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",1.0 GHz Scorpion,,,,,,,,,Yes
,,,,,Yes,Up to 6 h,,"3.6 inches, 36.9 cm2(~53.2% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,No,,Qualcomm QSD8250 Snapdragon S1,HTC,"TFT, 256K colors","2.1, A2DP, EDR",Removable Li-Ion 1500 mAh battery,,,HTC Arrive,About 90 EUR,"2010, October. Released 2011, March","Accelerometer, proximity, compass",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,Adreno 200,,"8GB 576MB RAM, 16GB 576MB RAM",0.72 W/kg (head),,117.5 x 59 x 15.5 mm (4.63 x 2.32 x 0.61 in),720p,"5 MP, AF",No,No,,,,,EV-DO Rev.A 3.1 Mbps,Black,,QWERTY,CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-7-pro.jpg,"GPS, A-GPS; Bing Maps",HTML,,,CDMA 800 / 1900,,Microsoft Windows Phone 7,Mini-SIM,,,185 g (6.53 oz),,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",1.0 GHz Scorpion,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Twitter integrationYouTube clientDocument viewer/editorVoice memo/dialPredictive text input,,,,,,,Yes
HSDPA 850 / 1900 - North America,,,Corning Gorilla Glass,,Yes,Up to 9 h 15 min (2G) / Up to 5 h 30 min (3G),,"4.3 inches, 52.6 cm2(~62.9% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 69dB / Noise 66dB / Ring 78dB,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM8255 Snapdragon S2,HTC,LCD,"2.1, A2DP",Removable Li-Ion 1230 mAh battery,,,HTC Desire HD,About 150 EUR,"2010, September. Released 2010, October","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 205,,1.5GB; 768MB RAM,0.47 W/kg (head)     0.84 W/kg (body),,123 x 68 x 11.8 mm (4.84 x 2.68 x 0.46 in),720p,"8 MP, AF",No,"microSDHC (dedicated slot), 8 GB included",,,,,HSPA 14.4/5.76 Mbps or HSPA 7.2/2 Mbps (carrier dependent),"Black, Brown",,,GSM / HSPA,,,,Noise -90.6dB / Crosstalk -92.6dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-hd-new.jpg,"GPS, A-GPS","HTML, Adobe Flash",,Up to 490 h (2G) / Up to 420 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.2 (Froyo), 2.3 (Gingerbread), not upgradable to 4.0 (Ice Cream Sandwich), Sense UI",Mini-SIM,,,164 g (5.78 oz),,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",1.0 GHz Scorpion,,Dedicated search keyMP3/AAC+/WAV/WMA9 playerDivX/Xvid/MP4/H.264/WMV9/playerVoice memoPredictive text input,,,,,,,Yes
HSDPA 850 / 1900 - North America,,,Corning Gorilla Glass,,Yes,Up to 9 h 50 min (2G) / Up to 6 h 40 min (3G),0.86 W/kg (head),"3.7 inches, 39.0 cm2(~54.2% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 72dB / Noise 72dB / Ring 82dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7230,HTC,S-LCD,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,,Dedicated search keyMP3/WAV/AAC+ playerMP4/H.264/DivX/XviD playerVoice memo/dialPredictive text input,HTC Desire Z,About 100 EUR,"2010, September. Released 2010, November","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 205,,1.5GB; 512MB RAM,,,119 x 60.4 x 14.2 mm (4.69 x 2.38 x 0.56 in),720p,"5 MP, AF",Optical trackpad,microSDHC (dedicated slot),,,,,HSPA 14.4/5.76 Mbps,Black,,QWERTY,GSM / HSPA,,,,Noise -90.1dB / Crosstalk -90.7dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-z.jpg,"GPS, A-GPS","HTML, Adobe Flash",,Up to 430 h (2G) / Up to 430 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread), Sense UI",Mini-SIM,,,180 g (6.35 oz),,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",800 MHz Scorpion,,No,,,,,,,Yes
Optical trackpad,,,,,Yes,,,"3.2 inches, 30.5 cm2",HSDPA 850 / 1900,,,,,Cancelled,,,,HTC,"TFT,  256K colors","2.1, A2DP",Removable Li-Ion 1200 mAh battery,,Dedicated search keyMP3/AAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,HTC Paradise,,Not officially announced yet,Accelerometer,,,microUSB 2.0,,Wi-Fi 802.11 b/g,,,,,,-,Yes,3.15 MP,Touch sensitive controls,microSDHC (dedicated slot),,,,,HSPA,Black,,QWERTY,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-paradise.jpg,,HTML,,,GSM 850 / 900 / 1800 / 1900,,Android OS,Mini-SIM,,,-,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,,No,,,,,,,Yes
MP3/AAC+/WAV playerMP4/H.264 player,,,,,Yes,Up to 7 h 20 min (2G) / Up to 6 h 50 min (3G),,"4.3 inches, 51.0 cm2(~62.2% screen-to-body ratio)",HSDPA 900 / 2100,,,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8260 Snapdragon S3,HTC,Super LCD,"3.0, A2DP","Li-Ion 1730 mAh, removable",,,HTC Evo 4G+,About 150 EUR,2011,"Accelerometer, gyro, proximity, compass",,No,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 b/g/n, DLNA, WiMAX 802.16 e",Adreno 220,,"4GB (1.3GB user available), 1GB RAM",,,126 x 65 x 12.1 mm (4.96 x 2.56 x 0.48 in),1080p@30fps,"8 MP, AF",,"microSDHC (dedicated slot), 8 GB included",,,,,HSPA 14.4/5.76 Mbps,Black,,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-evo-4g-plus.jpg,GPS,,,Up to 270 h (2G) / Up to 330 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.3.4 (Gingerbread), upgradable to 4.0.3 (Ice Cream Sandwich), Sense UI 3",Mini-SIM,,,160 g (5.64 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Dual-core 1.2 GHz Scorpion,,,,,,,,,Yes
HSDPA 900 / 2100,,,Corning Gorilla Glass,,Yes,Up to 6 h,,"3.2 inches, 30.5 cm2(~50.9% screen-to-body ratio)",HSDPA 850 / 1900,,Voice 74dB / Noise 74dB / Ring 83dB,,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7227 Snapdragon S1,HTC,"TFT,  256K colors","2.1, A2DP",Removable Li-Ion 1200 mAh battery,,MP3/AAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,HTC Aria,About 150 EUR,"2010, June. Released 2010, June","Accelerometer, proximity, compass",,,microUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 200,,512MB 384MB RAM,1.54 W/kg (head)     1.27 W/kg (body),,103.8 x 57.7 x 11.7 mm (4.09 x 2.27 x 0.46 in),Yes,"5 MP, AF",Optical trackpad,"microSDHC (dedicated slot), 2 GB included",,,,,HSPA 7.2/0.384 Mbps,Black,,,GSM / HSPA,,,,Noise -84.5dB / Crosstalk -85.4dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-aria-new.jpg,"GPS, A-GPS",HTML,,Up to 372 h,GSM 850 / 900 / 1800 / 1900,,"Android 2.1 (Eclair), Sense UI",Mini-SIM,,,115 g (4.06 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",600 MHz ARM 11,,No,,,,,,,Yes
Optical trackpad,,,Corning Gorilla Glass,,Yes,Up to 6 h 40 min,,"3.2 inches, 31.7 cm2(~44.5% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,No,,,HTC,"TFT,  256K colors","2.1, A2DP, EDR",Removable Li-Ion 1300 mAh battery,,,HTC Wildfire CDMA,About 110 EUR,"2010, October. Released 2010, October","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g, hotspot",,,512MB 384MB RAM,,,116.9 x 61 x 12 mm (4.60 x 2.40 x 0.47 in),Yes,"5 MP, AF",No,"microSDHC (dedicated slot), 2 GB included",,,,,EV-DO Rev.A 3.1 Mbps,Black,,,CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildlife-cdma.jpg,"GPS, A-GPS",HTML,,Up to 254 h,CDMA 800 / 1900,,"Android 2.1 (Eclair), upgradable to 2.3 (Gingerbread), Sense UI",Mini-SIM,,,115 g (4.06 oz),,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",528 MHz,,Document viewerMP3/AAC+/WAV playerMP4/H.264 playerVoice memo/dialPredictive text input,,,,,,,Yes
Optical trackpad,,,Corning Gorilla Glass,,Yes,Up to 7 h 20 min (2G) / Up to 8 h 10 min (3G),,"3.2 inches, 31.7 cm2(~49.2% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 74dB / Noise 66dB / Ring 75dB,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7225 Snapdragon S1,HTC,TFT,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,,,HTC Wildfire,About 90 EUR,"2010, May. Released 2010, May","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g, hotspot (Android 2.2)",No,,384MB RAM; 512MB,1.15 W/kg (head)     1.13 W/kg (body),,106.8 x 60.4 x 12 mm (4.20 x 2.38 x 0.47 in),Yes,"5 MP, AF",No,microSDHC (dedicated slot),,,,,HSPA 7.2/0.384 Mbps,"Black, Brown, White, Red, Silver",,,GSM / HSPA,,,,Noise -84.8dB / Crosstalk -84.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-ofic.jpg,"GPS, A-GPS",HTML,,Up to 480 h (2G) / Up to 690 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo), Sense UI",Mini-SIM,,,118 g (4.16 oz),,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",528 MHz ARM 11,,MP3/AAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerVoice memoPredictive text input,,,,,,,Yes
No,,,Corning Gorilla Glass,,Yes,Up to 6 h 40 min (2G) / Up to 7 h 15 min (3G),,"3.2 inches, 30.5 cm2(~50.9% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 74dB / Noise 75dB / Ring 84dB,,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7227 Snapdragon S1,HTC,"TFT, 65K colors","2.1, A2DP",Removable Li-Ion 1200 mAh battery,,,HTC HD mini,About 120 EUR,"2010, February. Released 2010, April","Accelerometer, proximity",,,microUSB 2.0,,"Wi-Fi 802.11 b/g, Wi-Fi router",Adreno 200,,"384MB RAM, 512MB ROM",,,103.8 x 57.7 x 11.7 mm (4.09 x 2.27 x 0.46 in),480p@30fps,"5 MP, AF","MP3/AAC+/WAV/WMA9 playerMP4/H.264 playerPocket OfficeFacebook, Twitter integrationHTC Peep, HTC FootprintsYouTube clientVoice memo",microSDHC (dedicated slot),,,,Up to 12 h,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,Noise -83.7dB / Crosstalk -84.1dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-hd-mini.jpg,"GPS, A-GPS",HTML,,Up to 340 h (2G) / Up to 500 h (3G),GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Mobile 6.5.3 Professional, Sense UI",Mini-SIM,,,110 g (3.88 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",600 MHz ARM 11,,,,,,,,,Yes
HSDPA 850 / 1900 - North America,,,Corning Gorilla Glass,,Yes,Up to 6 h 40 min (2G) / Up to 6 h 30 min (3G),,"3.7 inches, 39.0 cm2(~54.6% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 76dB / Noise 75dB / Ring 84dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm QSD8250 Snapdragon S1,HTC,AMOLED or SLCD,"2.1, A2DP",Removable Li-Ion 1400 mAh battery,,,HTC Desire,About 140 EUR,"2010, February. Released 2010, March","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g, hotspot (Android 2.2)",Adreno 200,,576MB RAM; 512MB,1.48 W/kg (head)     0.69 W/kg (body),,119 x 60 x 11.9 mm (4.69 x 2.36 x 0.47 in),"480p@15fps, 720p@30fps (via SW update)","5 MP, AF",Optical trackpad,"microSDHC (dedicated slot), 4 GB included",,,,,HSPA 7.2/2 Mbps,"Black, Brown, Silver, White",,,GSM / HSPA,,,,Noise -87.6dB / Crosstalk -84.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-bravo.jpg,"GPS, A-GPS","HTML, Adobe Flash",,Up to 340 h (2G) / Up to 360 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo), Sense UI",Mini-SIM,,,135 g (4.76 oz),,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",1.0 GHz Scorpion,,No,,,,,,,Yes
HSDPA 850 / 1900 - American version,,,Corning Gorilla Glass,,Yes,Up to 7 h (2G) / Up to 6 h 10 min (3G),,"3.2 inches, 30.5 cm2(~48.4% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 78dB / Noise 74dB / Ring 79dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7227 Snapdragon S1,HTC,AMOLED,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,,MP3/eAAC+/WAV playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,HTC Legend,About 120 EUR,"2010, February. Released 2010, March","Accelerometer, proximity, compass",,,microUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 200,,"384MB RAM, 512MB",0.45 W/kg (head)     0.34 W/kg (body),,112 x 56.3 x 11.5 mm (4.41 x 2.22 x 0.45 in),Yes,"5 MP, AF",Optical trackpad,microSDHC (dedicated slot),,,,,HSPA 7.2/2 Mbps,"Gray, Black",,,GSM / HSPA,,,,Noise -83.4dB / Crosstalk -83.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-legend.jpg,"GPS, A-GPS",HTML,,Up to 440 h (2G) / Up to 560 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.1 (Eclair), Sense UI",Mini-SIM,,,126 g (4.44 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",600 MHz ARM 11,,No,,,,,,,Yes
HSDPA 1700 / 2100 / 1900,,,,,Yes,,,"4.3 inches, 51.0 cm2",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,,,Qualcomm MSM8660 Snapdragon S3,HTC,3D S-LCD,"3.0, A2DP, EDR",Removable Li-Ion battery,,,HTC Rider,,Not officially announced yet,"Accelerometer, gyro, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, WiMAX 802.16 e, DLNA, hotspot",Adreno 220,,1GB RAM,,,-,Yes,"8 MP, AF",MP3/AAC+/WAV/WMA playerMP4/Xvid/H.264/WMV playerOrganizerDocument viewer/editorVoice memo/dial/commandsPredictive text input,microSDHC (dedicated slot),,,,,"EV-DO Rev.A 3.1 Mbps, HSPA",Black,,,CDMA / HSPA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-rider-new.jpg,"GPS, A-GPS",HTML,,,CDMA 800 / 1900,,"Android OS, Sense UI",Mini-SIM,,,-,1.3 MP,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Dual-core 1.2 GHz Scorpion,,,,,,,,,Yes
"HSDPA 850 / 1900 / 2100 - for AT&T, Rogers Wireless",,,,,Yes,Up to 10 hours (2G) / Up to 7 hours (3G),,"3.7 inches, 39.0 cm2(~54.8% screen-to-body ratio)",HSDPA 900 / 1700 / 2100,,Voice 69dB / Noise 66dB / Ring 79dB,LED flash,,Discontinued,"Factory locked by default, can be enabled",Photo,Qualcomm QSD8250 Snapdragon S1,HTC,AMOLED,"2.1, A2DP",Removable Li-Ion 1400 mAh battery,,Dedicated search keyMP3/eAAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,HTC Google Nexus One,About 120 EUR,"2010, January. Released 2010, January","Accelerometer, proximity, compass",,,microUSB 2.0,,Wi-Fi 802.11 a/b/g,Adreno 200,,"512MB RAM, 512MB",0.37 W/kg (head)     0.74 W/kg (body),,119 x 59.8 x 11.5 mm (4.69 x 2.35 x 0.45 in),480p@24fps,"5 MP, AF",Trackball,"microSDHC (dedicated slot), 4 GB included",,,,Up to 20 hours,HSPA 7.2/2 Mbps,Brown (teflon coating),,,GSM / HSPA,,,,Noise -86.1dB / Crosstalk -85.2dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-google-nexus-one-final.jpg,"GPS, A-GPS",HTML,,Up to 290 h (2G) / Up to 250 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.1 (Eclair), upgradable to 2.3.6 (Gingerbread)",Mini-SIM,,,130 g (4.59 oz),,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",1.0 GHz Scorpion,,No,,,,,,,Yes
No,,,,,Yes,Up to 7 h 30 min (2G) / Up to 6 h 10 min (3G),,"2.8 inches, 24.3 cm2(~42.4% screen-to-body ratio)",HSDPA 2100,,Voice 74dB / Noise 73dB / Ring 80dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,,HTC,"TFT resistive touchscreen, 256K colors","2.0, A2DP",Removable Li-Ion 1100 mAh battery,"Yes, MIDP 2.1",,HTC Smart,About 90 EUR,"2010, January. Released 2010, March",,,,miniUSB 2.0,,No,,,"256MB RAM, 256MB ROM",,,104 x 55 x 12.8 mm (4.09 x 2.17 x 0.50 in),Yes,3.15 MP,MP3/eAAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerOrganizerPredictive text input,microSDHC (dedicated slot),Yes,,,,HSPA 3.6/0.384 Mbps,Black,,,GSM / HSPA,,,,Noise -88.1dB / Crosstalk -86.1dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-smart.jpg,No,HTML,,Up to 450 h (2G) / Up to 600 h (3G),GSM 850 / 900 / 1800 / 1900,,,Mini-SIM,,"1000 entries, Photocall",108 g (3.81 oz),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",300 MHz,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,,,Yes
HSDPA 850 / 2100  - Australian Version,,,,,Yes,Up to 6 h 20 min (2G) / Up to 5 h 40 min (3G),,"4.3 inches, 52.6 cm2(~65.2% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 75dB / Noise 72dB / Ring 78dB,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm QSD8250 Snapdragon S1,HTC,"TFT, 65K colors","2.1, A2DP",Removable Li-Ion 1230 mAh battery,,,HTC HD2,About 140 EUR,"2009, October. Released 2009, November","Accelerometer, proximity, compass",,,microUSB,,"Wi-Fi 802.11 b/g, Wi-Fi router",Adreno 200,,"448MB RAM, 512MB ROM",0.63 W/kg (head)     0.72 W/kg (body),,120.5 x 67 x 11 mm (4.74 x 2.64 x 0.43 in),480p@30fps,"5 MP, AF",No,microSDHC (dedicated slot),,,,Up to 12 h,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,Noise -89.0dB / Crosstalk -87.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-hd2-new.jpg,"GPS, A-GPS; NaviPanel","WAP 2.0/xHTML, HTML",,Up to 490 h (2G) / Up to 390 h (3G),GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Mobile 6.5 Professional, Sense UI",Mini-SIM,,,157 g (5.54 oz),,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",1.0 GHz Scorpion,,"MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Twitter integrationYouTube clientPocket OfficeHTC Peep, HTC FootprintsVoice memoPredictive text input",,,,,,,Yes
HDMI portDedicated search keyMP3/AAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerVoice memoPredictive text input,,,Corning Gorilla Glass,,Yes,Up to 5 h 12 min,,"4.3 inches, 52.6 cm2(~65.4% screen-to-body ratio)",CDMA2000 1xEV-DO,,,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm QSD8650 Snapdragon S1,HTC,"TFT, 65K colors","2.1, A2DP",Removable Li-Ion 1500 mAh battery,,,HTC Evo 4G,About 90 EUR,"2010, March. Released 2010, June","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g, WiMAX 802.16 e (Wi-Fi router)",Adreno 200,,1GB 512MB RAM,1.03 W/kg (head)     0.96 W/kg (body),,122 x 66 x 13 mm (4.80 x 2.60 x 0.51 in),720p,"8 MP, AF",,"microSDHC (dedicated slot), 8 GB included",,,,,EV-DO Rev.A 3.1 Mbps,"Black, White",,,CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-evo-sprint.jpg,"GPS, A-GPS","HTML, Adobe Flash",,Up to 146 h,CDMA 800 / 1900,,"Android 2.1 (Eclair), upgradable to 2.3 (Gingerbread), Sense UI",Mini-SIM,,,170 g (6.00 oz),1.3 MP,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",1.0 GHz Scorpion,,,,,,,,,Yes
Optical trackball,,,Corning Gorilla Glass,,Yes,Up to 5 h 15 min,,"3.7 inches, 39.0 cm2(~56.7% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm QSD8650 Snapdragon S1,HTC,AMOLED,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,,,HTC Droid Incredible,About 80 EUR,"2010, April. Released 2010, April","Accelerometer, proximity, compass",,,microUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 200,,8GB,1.40 W/kg (head)     0.70 W/kg (body),,117.5 x 58.5 x 11.9 mm (4.63 x 2.30 x 0.47 in),Yes,"8 MP, AF",No,microSDHC (dedicated slot),,,,,EV-DO Rev.A 3.1 Mbps,Black,,,CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-droid-incredible.jpg,"GPS, A-GPS",HTML,,Up to 146 h,CDMA 800 / 1900,,"Android 2.1 (Eclair), Sense UI",Mini-SIM,,,130 g (4.59 oz),,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",1.0 GHz Scorpion,,Dedicated search keyMP3/eAAC+/WAV playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,,,,,,,Yes
